0
1
2
3
4
5
6
7
8
18780
         4609816 function calls (4606727 primitive calls) in 41.508 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(ArgInfo)
        1    0.000    0.000    0.000    0.000 <string>:1(ArgSpec)
        1    0.000    0.000    0.000    0.000 <string>:1(Arguments)
        1    0.000    0.000    0.000    0.000 <string>:1(Attribute)
        1    0.000    0.000    0.000    0.000 <string>:1(DecimalTuple)
        1    0.000    0.000    0.000    0.000 <string>:1(DefaultVerifyPaths)
        1    0.000    0.000    0.000    0.000 <string>:1(Match)
        1    0.000    0.000    0.000    0.000 <string>:1(Mismatch)
        1    0.000    0.000    0.000    0.000 <string>:1(ModuleInfo)
        1    0.000    0.000    0.000    0.000 <string>:1(ParseResult)
        1    0.000    0.000    0.000    0.000 <string>:1(SplitResult)
        1    0.000    0.000    0.000    0.000 <string>:1(Traceback)
        1    0.000    0.000    0.000    0.000 <string>:1(_ASN1Object)
      558    0.002    0.000    0.004    0.000 <string>:8(__new__)
        1    0.000    0.000    0.000    0.000 Dialog.py:12(Dialog)
        1    0.000    0.000    0.000    0.000 Dialog.py:3(<module>)
        1    0.000    0.000    0.000    0.000 FileDialog.py:21(FileDialog)
        1    0.000    0.000    0.000    0.000 FileDialog.py:220(LoadFileDialog)
        1    0.000    0.000    0.000    0.000 FileDialog.py:234(SaveFileDialog)
        1    0.001    0.001    0.001    0.001 FileDialog.py:9(<module>)
        1    0.000    0.000    0.000    0.000 FixTk.py:1(<module>)
        1    0.000    0.000    0.000    0.000 Image.py:1683(_ImageCrop)
        1    0.000    0.000    0.000    0.000 Image.py:1718(ImagePointHandler)
        1    0.000    0.000    0.000    0.000 Image.py:1722(ImageTransformHandler)
        1    0.002    0.002    0.003    0.003 Image.py:27(<module>)
        1    0.000    0.000    0.000    0.000 Image.py:34(_imaging_not_installed)
        1    0.000    0.000    0.000    0.000 Image.py:407(_E)
        1    0.000    0.000    0.000    0.000 Image.py:444(Image)
        1    0.000    0.000    0.000    0.000 ImageColor.py:20(<module>)
        1    0.000    0.000    0.000    0.000 ImageMode.py:17(<module>)
        1    0.000    0.000    0.000    0.000 ImageMode.py:22(ModeDescriptor)
        1    0.000    0.000    0.000    0.000 ImagePalette.py:19(<module>)
        1    0.000    0.000    0.000    0.000 ImagePalette.py:25(ImagePalette)
        1    0.000    0.000    0.000    0.000 StringIO.py:30(<module>)
        1    0.000    0.000    0.000    0.000 StringIO.py:42(StringIO)
        1    0.000    0.000    0.000    0.000 Tkconstants.py:4(<module>)
        1    0.000    0.000    0.000    0.000 Tkinter.py:149(Event)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1529(CallWrapper)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1549(XView)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1570(YView)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1591(Wm)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1796(Tk)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1924(Pack)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1963(Place)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2007(Grid)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2054(BaseWidget)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2110(Widget)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2117(Toplevel)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2145(Button)
        1    0.000    0.000    0.000    0.000 Tkinter.py:221(Variable)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2224(Canvas)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2465(Checkbutton)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2494(Entry)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2559(Frame)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2577(Label)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2599(Listbox)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2690(Menu)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2815(Menubutton)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2820(Message)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2825(Radiobutton)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2852(Scale)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2885(Scrollbar)
