Route_ID,startMilepost,endMilepost,Average daily traffic counts Year_2015,"RteType (IS= Interstate, SR= State Route)",Number of Lanes DECR MP direction ,Number of Lanes INCR MP direction,,Comments
5,100.93,101.87,65000,IS,3,3,,Olympia
5,101.87,103.17,85000,IS,3,3,,
5,103.17,103.42,108000,IS,3,3,,
5,103.42,104.81,101000,IS,3,3,,
5,104.81,105.63,144000,IS,3,4,,Rte 101 intersection
5,105.63,106.23,123000,IS,3,4,,
5,106.23,107.09,143000,IS,3,4,,
5,107.09,107.74,124000,IS,4,4,,
5,107.74,108.46,135000,IS,4,4,,
5,108.46,108.94,116000,IS,4,3,,
5,108.94,109.52,100000,IS,3,3,,
5,109.52,111.43,119000,IS,3,3,,
5,111.43,112.43,89000,IS,3,3,,SR 510 intersection
5,112.43,113.85,105000,IS,3,3,,
5,113.85,114.65,101000,IS,3,3,,
5,114.65,116.42,118000,IS,3,3,,
5,116.42,117.25,118000,IS,3,3,,
5,117.25,117.78,128000,IS,3,3,,
5,117.78,118.4,120000,IS,3,3,,
5,118.4,118.67,129000,IS,3,3,,
5,118.67,119.38,116000,IS,3,3,,
5,119.38,120.46,125000,IS,3,3,,
5,120.46,121.4,116000,IS,3,3,,
5,121.4,122.4,136000,IS,3,3,,
5,122.4,123.09,124000,IS,3,3,,
5,123.09,123.28,139000,IS,3,3,,
5,123.28,123.94,135000,IS,4,4,,
5,123.94,124.33,152000,IS,4,4,,
5,124.33,125.09,137000,IS,4,4,,
5,125.09,125.6,149000,IS,4,4,,
5,125.6,126.2,132000,IS,4,4,,
5,126.2,127.13,148000,IS,4,4,,
5,127.13,128.06,110000,IS,4,4,,SR 512 intersection
5,128.06,128.59,177000,IS,4,4,,
5,128.59,129.36,169000,IS,4,4,,
5,129.36,130.02,161000,IS,4,4,,
5,130.02,130.31,199000,IS,4,4,,
5,130.31,131.22,180000,IS,4,4,,
5,131.22,131.35,197000,IS,4,4,,
5,131.35,132.89,134000,IS,4,3,,SR 16 Intersection
5,132.89,133.66,164000,IS,4,3,,
5,133.66,134.18,170000,IS,4,3,,I705 intersection
5,134.18,134.61,225000,IS,4,3,,
5,134.61,134.97,209000,IS,4,3,,
5,134.97,135.32,179000,IS,4,3,,
5,135.32,136.51,205000,IS,4,4,,SR167 Joins
5,136.51,137.15,193000,IS,4,4,,
5,137.15,138.04,170000,IS,4,4,,
5,138.04,141.64,190000,IS,4,4,,
5,141.64,142.76,137000,IS,5,5,,
5,142.76,143.67,180000,IS,5,5,,
5,143.67,144.61,161000,IS,5,5,,
5,144.61,146.49,192000,IS,5,5,,
5,146.49,147.28,180000,IS,5,5,,
5,147.28,149.83,203000,IS,5,5,,
5,149.83,151.5,212000,IS,5,5,,
5,151.5,152.03,215000,IS,5,5,,
5,152.03,152.72,195000,IS,5,5,,
5,152.72,155.18,224000,IS,5,5,,I405 intersection
5,155.18,155.59,239000,IS,4,3,,
5,155.59,156.29,172000,IS,5,4,,
5,156.29,157.7,191000,IS,4,4,,
5,157.7,157.85,193000,IS,4,4,,
5,157.85,158.32,188000,IS,4,4,,
5,158.32,160.74,206000,IS,4,4,,
5,160.74,162.24,193000,IS,4,4,,
5,162.24,162.79,236000,IS,4,4,,
5,162.79,163.36,186000,IS,3,3,,
5,163.36,163.48,238000,IS,2,3,,
5,163.48,164.22,242000,IS,2,3,,
5,164.22,165.29,149000,IS,2,3,,I90 intersection
5,165.29,165.67,124000,IS,4,4,,
5,165.67,165.96,184000,IS,4,4,,
5,165.96,166.15,207000,IS,4,4,,
5,166.15,166.66,193000,IS,4,4,,
5,166.66,167.35,191000,IS,4,4,,
5,167.35,167.39,219000,IS,4,4,,
5,167.39,167.8,210000,IS,4,4,,
5,167.8,168.31,157000,IS,4,4,,SR 520 intersection
5,168.31,168.56,190000,IS,4,4,,
5,168.56,169.01,206000,IS,4,4,,
5,169.01,169.71,173000,IS,4,4,,
5,169.71,170.04,171000,IS,4,4,,
5,170.04,170.5,189000,IS,4,4,,
5,170.5,170.91,159000,IS,3,3,,
5,170.91,171.22,172000,IS,3,3,,
5,171.22,171.76,155000,IS,3,3,,
5,171.76,172.52,177000,IS,3,3,,
5,172.52,173.15,187000,IS,3,3,,
5,173.15,173.51,213000,IS,4,4,,
5,173.51,174.27,198000,IS,4,4,,
5,174.27,175.1,173000,IS,4,4,,
5,175.1,175.28,194000,IS,3,3,,
5,175.28,175.52,193000,IS,3,3,,
5,175.52,175.79,194000,IS,3,3,,
5,175.79,176.55,173000,IS,3,3,,
5,176.55,177.17,188000,IS,3,3,,
5,177.17,178.61,162000,IS,3,3,,
5,178.61,179.17,183000,IS,3,3,,
5,179.17,179.61,166000,IS,3,3,,
5,179.61,180.36,195000,IS,3,3,,
5,180.36,181.31,171000,IS,3,3,,
5,181.31,182.59,158000,IS,3,3,,I405 intersection
5,182.59,183.19,141000,IS,3,3,,
5,183.19,183.59,196000,IS,3,3,,
5,183.59,184.47,162000,IS,3,3,,
5,184.47,186.18,186000,IS,3,3,,
5,186.18,186.87,152000,IS,3,3,,
5,186.87,187.55,178000,IS,3,3,,
5,187.55,188.69,173000,IS,3,3,,
5,188.69,189.97,129000,IS,3,3,,
5,189.97,192.47,197000,IS,4,4,,
5,192.47,192.94,162000,IS,4,3,,
5,192.94,193.35,187000,IS,3,4,,
5,193.35,193.65,174000,IS,3,4,,
5,193.65,194.44,129000,IS,3,3,,
5,194.44,194.56,155000,IS,3,3,,
