Route_ID,Start,Stop,K30,AADT,D
5,0,6.815,8.17,133794.0,58.38,
5,6.815,15.895,8.73,88428.0,51.58,
5,15.895,28.01,9.22,74269.0,51.01,
5,28.01,40.09,9.65,65870.0,50.13,
5,40.09,59.825,10.37,54378.0,50.12,
5,59.825,80.46,9.49,63523.0,51.83,
5,80.46,93.055,9.33,64448.0,50.35,
5,93.055,102.29,8.7,74553.0,53.57,
5,102.29,105.37,8.5,101350.0,52.32,
5,105.37,108.365,8.35,143017.0,50.44,
5,108.365,114.71,7.92,119277.0,51.73,
5,114.71,121.41,7.5,124884.0,50.9,
5,121.41,124.805,7.44,138577.0,50.82,
5,124.805,128.68,7.46,148229.0,55.28,
5,128.68,133.99,7.04,197418.0,51.75,
5,133.99,142.435,6.81,192671.0,55.27,
5,142.435,150.775,7.56,203371.0,56.76,
5,150.775,161.16,7.48,223881.0,55.66,
5,161.16,172.78,6.64,205755.0,50.08,
5,172.78,180.6,7.22,187892.0,50.69,
5,180.6,188.775,7.41,186045.0,53.55,
5,188.775,200.415,7.32,187316.0,50.68,
5,200.415,212.465,8.71,89424.0,55.23,
5,212.465,222.065,9.71,61631.0,54.14,
5,222.065,240.385,8.81,70955.0,52.27,
5,240.385,257.57,9.02,77757.0,50.93,
5,257.57,265.37,9.21,50209.0,57.76,
5,265.37,271.79,9.27,31366.0,54.16,
5,271.79,276.55,9.84,21385.0,54.3,
90,2.36,3.6,8.53,120604.0,55.17,
90,3.6,7.52,8.33,131979.0,52.12,
90,7.52,12.735,8.17,146408.0,55.8,
90,12.735,19.095,8.83,127729.0,62.73,
90,19.095,28.55,10.3,62945.0,63.44,
90,28.55,40.635,13.95,35881.0,51.06,
90,40.635,55.845,14.39,32164.0,52.75,
90,55.845,73.34,12.93,30180.0,58.76,
90,73.34,109.645,14.01,30953.0,57.15,
90,109.645,158.46,15.4,15757.0,52.39,
90,158.46,199.58,14.42,11843.0,54.63,
90,199.58,236.53,15.09,11155.0,66.33,
90,236.53,266.515,13.11,18942.0,57.03,
90,266.515,282.015,9.37,78379.0,54.88,
90,282.015,292.01,9.54,117818.0,56.06,
90,292.01,305.57,9.99,54395.0,55.33,
405,2.81,7.11,7.19,153081.0,52.21,
405,7.11,11.15,6.94,150937.0,51.36,
405,11.15,21.015,7.35,192400.0,51.24,
405,21.015,36.965,8.05,119255.0,50.52,
520,0,2.0,9.53,47823.0,56.76,
520,2.0,8.005,10.39,67592.0,51.42,
520,8.005,16.015,9.38,77665.0,73.45,
